"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12572","Change currency bug","chromium","Mon Nov 11 16:02:07 GMT 2024","passed","Mon Nov 11 16:02:19 GMT 2024","","found.bugs.spec.js","",""
"","3121","Product details bug","chromium","Mon Nov 11 16:02:03 GMT 2024","passed","Mon Nov 11 16:02:07 GMT 2024","","found.bugs.spec.js","",""
"","9544","Return to shop spell bug","chromium","Mon Nov 11 16:02:29 GMT 2024","passed","Mon Nov 11 16:02:38 GMT 2024","","found.bugs.spec.js","",""
"","5746","Total price bug","chromium","Mon Nov 11 16:02:23 GMT 2024","passed","Mon Nov 11 16:02:29 GMT 2024","","found.bugs.spec.js","",""
"","8902","Buy more 2 items","chromium","Mon Nov 11 16:02:38 GMT 2024","passed","Mon Nov 11 16:02:47 GMT 2024","","found.bugs.spec.js","",""
"","3861","Filter by price bug","chromium","Mon Nov 11 16:02:19 GMT 2024","passed","Mon Nov 11 16:02:23 GMT 2024","","found.bugs.spec.js","",""
"","2453","Click on image bug","chromium","Mon Nov 11 16:02:01 GMT 2024","passed","Mon Nov 11 16:02:03 GMT 2024","","found.bugs.spec.js","",""
"","11384","Change number of products on page bug","chromium","Mon Nov 11 16:01:49 GMT 2024","passed","Mon Nov 11 16:02:01 GMT 2024","","found.bugs.spec.js","",""
