"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8474","Filter by price bug","chromium","Mon Nov 11 16:15:28 CET 2024","passed","Mon Nov 11 16:15:37 CET 2024","","found.bugs.spec.js","",""
"","9242","Total price bug","chromium","Mon Nov 11 16:15:35 CET 2024","passed","Mon Nov 11 16:15:44 CET 2024","","found.bugs.spec.js","",""
"","13785","Return to shop spell bug","chromium","Mon Nov 11 16:15:36 CET 2024","passed","Mon Nov 11 16:15:49 CET 2024","","found.bugs.spec.js","",""
"","5815","Click on image bug","chromium","Mon Nov 11 16:15:28 CET 2024","passed","Mon Nov 11 16:15:34 CET 2024","","found.bugs.spec.js","",""
"","16212","Change currency bug","chromium","Mon Nov 11 16:15:28 CET 2024","passed","Mon Nov 11 16:15:45 CET 2024","","found.bugs.spec.js","",""
"","12358","Buy more 2 items","chromium","Mon Nov 11 16:15:37 CET 2024","passed","Mon Nov 11 16:15:50 CET 2024","","found.bugs.spec.js","",""
"","14445","Change number of products on page bug","chromium","Mon Nov 11 16:15:28 CET 2024","passed","Mon Nov 11 16:15:43 CET 2024","","found.bugs.spec.js","",""
"","6923","Product details bug","chromium","Mon Nov 11 16:15:28 CET 2024","passed","Mon Nov 11 16:15:35 CET 2024","","found.bugs.spec.js","",""
